Age,Gender,Height,Weight,Activity Level,Fitness Goal,Dietary Preference,Daily Calorie Target,Protein,Carbohydrates,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,BMI,BMR
32.0,Male,190.0,90.0,Very Active,Muscle Gain,Omnivore,3000,180,400,90,Oatmeal with protein powder and fruit,Chicken breast with sweet potato and broccoli,Steak with roasted vegetables,Protein shake,24.930747922437675,1932.5
58.0,Male,170.0,85.0,Moderately Active,Weight Loss,Vegetarian,1900,100,240,50,Eggs with whole wheat toast and avocado,Lentil soup with whole wheat bread,Vegetarian chili with brown rice,Trail mix with nuts and dried fruit,29.411764705882355,1627.5
22.0,Female,160.0,50.0,Lightly Active,Weight Loss,Vegan,1500,80,200,40,Tofu scramble with vegetables,Vegan lentil stew with whole wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter,19.531249999999996,1229.0
25.0,Female,165.0,60.0,Lightly Active,Weight Loss,Omnivore,1800,80,200,60,Greek yogurt with berries and granola,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Apple slices with peanut butter,22.03856749311295,1345.25
38.0,Male,180.0,85.0,Moderately Active,Muscle Gain,Vegetarian,2800,150,250,80,Tofu scramble with spinach and avocado,Quinoa salad with chickpeas and vegetables,Black bean burgers with sweet potato fries,Mixed nuts and seeds,26.234567901234566,1790.0
55.0,Female,160.0,65.0,Sedentary,Maintenance,Vegan,1600,65,180,50,Overnight oats with fruit and chia seeds,Lentil and vegetable curry with brown rice,Tofu stir-fry with brown rice noodles,Fruit smoothie,25.390624999999996,1214.0
42.0,Male,190.0,95.0,Very Active,Muscle Gain,Omnivore,3200,200,300,100,Scrambled eggs with whole wheat toast and fruit,Chicken breast with brown rice and vegetables,Steak with sweet potato and asparagus,Protein shake,26.315789473684212,1932.5
62.0,Female,155.0,58.0,Sedentary,Weight Loss,Vegan,1400,55,150,40,Oatmeal with berries and plant-based milk,Lentil soup with whole wheat bread,Vegetable stir-fry with tofu and brown rice,Apple slices with almond butter,24.141519250780433,1077.75
28.0,Male,175.0,70.0,Moderately Active,Muscle Gain,Omnivore,2500,130,220,70,Greek yogurt with fruit and granola,Tuna salad sandwich on whole wheat bread,Chicken breast with brown rice and vegetables,Trail mix,22.857142857142858,1658.75
31.0,Female,170.0,75.0,Lightly Active,Weight Loss,Vegetarian,1700,70,190,50,Scrambled eggs with whole wheat toast and avocado,Vegetarian chili with whole wheat bread,Black bean burgers with salad,Apple slices with almond butter,25.95155709342561,1496.5
58.0,Male,185.0,90.0,Moderately Active,Maintenance,Omnivore,2400,100,240,70,Oatmeal with fruit and nuts,Chicken salad sandwich on whole wheat bread,Salmon with roasted vegetables,Fruit and cheese,26.296566837107374,1771.25
22.0,Female,168.0,55.0,Very Active,Muscle Gain,Vegan,2200,110,200,60,Overnight oats with fruit and chia seeds,Tofu scramble with spinach and avocado,Lentil and vegetable curry with brown rice,Protein shake,19.48696145124717,1329.0
45.0,Male,182.0,80.0,Lightly Active,Weight Loss,Omnivore,2000,90,220,60,Greek yogurt with fruit and granola,Chicken breast salad with vegetables,Turkey chili with brown rice,Fruit and yogurt,24.151672503320853,1717.5
,Gender,,,Activity Level,Fitness Goal,Dietary Preference,Daily Calorie Target,Protein (g),Carbohydrates (g),Fat (g),Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,,
25.0,Male,180.0,80.0,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit,24.691358024691358,1805.0
32.0,Female,165.0,65.0,Lightly Active,Muscle Gain,Vegetarian,2000,100,200,60,Tofu scramble with whole-wheat toast,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Trail mix with nuts and dried fruit,23.875114784205696,1360.25
55.0,Male,175.0,90.0,Sedentary,Maintenance,Vegan,2000,80,250,50,Tofu and vegetable breakfast burrito,Black bean burger on a whole-wheat bun,Lentil pasta with marinara sauce,Fruit salad with nuts,29.387755102040817,1723.75
68.0,Female,160.0,75.0,Lightly Active,Weight Loss,Omnivore,1800,80,180,50,Greek yogurt with granola,Chicken breast salad with mixed greens,Turkey meatballs with steamed vegetables,Popcorn,29.296874999999993,1249.0
28.0,Male,185.0,95.0,Very Active,Muscle Gain,Omnivore,3000,160,350,80,Scrambled eggs with avocado and whole-wheat toast,Chicken breast with brown rice and vegetables,Steak with sweet potato fries,Protein shake with banana,27.757487216946675,1971.25
38.0,Female,170.0,70.0,Moderately Active,Weight Loss,Vegan,1800,80,200,50,Overnight oats with chia seeds and fruit,Tofu and vegetable stir-fry with brown rice,Lentil soup with whole-wheat bread,Fruit salad with nuts,24.221453287197235,1411.5
62.0,Male,170.0,85.0,Sedentary,Maintenance,Omnivore,2200,80,270,60,Pancakes with fruit and syrup,Grilled chicken sandwich with whole-wheat bread,Chicken stir-fry with brown rice,Popcorn,29.411764705882355,1607.5
45.0,Female,168.0,60.0,Very Active,Muscle Gain,Vegetarian,2400,120,280,70,Tofu scramble with whole-wheat toast,Black bean burger on a whole-wheat bun,Chickpea curry with brown rice,Energy bar with nuts and seeds,21.258503401360546,1264.0
22.0,Female,172.0,55.0,Moderately Active,Weight Loss,Vegan,1800,80,200,50,Overnight oats with chia seeds and fruit,Tofu and vegetable stir-fry with brown rice,Lentil stew with whole-wheat bread,Trail mix with nuts and dried fruit,18.591130340724717,1354.0
58.0,Male,178.0,98.0,Sedentary,Maintenance,Omnivore,2000,80,250,50,Scrambled eggs with whole-wheat toast,Tuna salad sandwich with whole-wheat bread,Chicken breast with roasted vegetables,Fruit salad with nuts,30.930438076000502,1807.5
25.0,Male,180.0,85.0,Lightly Active,Weight Loss,Omnivore,2000,120,250,65,Greek yogurt with berries and granola,Chicken breast salad with mixed greens,Salmon with roasted vegetables,Apple with peanut butter,26.234567901234566,1855.0
32.0,Female,165.0,60.0,Moderately Active,Muscle Gain,Vegetarian,2200,100,300,70,Tofu scramble with whole-wheat toast,Lentil soup with whole-wheat bread,Tofu stir-fry with brown rice,Trail mix with nuts and dried fruit,22.03856749311295,1310.25
48.0,Male,175.0,95.0,Very Active,Maintenance,Omnivore,2800,150,350,90,Oatmeal with fruit and nuts,Chicken and vegetable stir-fry,Beef stew with brown rice,Protein bar,31.020408163265305,1808.75
55.0,Female,160.0,70.0,Sedentary,Weight Loss,Vegan,1600,80,200,50,Tofu scramble with spinach and avocado toast,Lentil soup with whole-wheat bread,Vegan chili with brown rice,Fruit salad with nuts,27.343749999999996,1264.0
28.0,Male,185.0,90.0,Moderately Active,Muscle Gain,Vegan,2600,130,350,80,Tofu and veggie breakfast burrito,Lentil and quinoa salad,Vegan pasta with marinara sauce,Smoothie with protein powder and fruit,26.296566837107374,1921.25
62.0,Female,155.0,65.0,Lightly Active,Weight Loss,Omnivore,1800,90,220,60,Eggs with whole-wheat toast,Chicken salad sandwich with mixed greens,Fish with roasted vegetables,Greek yogurt with fruit,27.055150884495315,1147.75
35.0,Female,170.0,75.0,Very Active,Muscle Gain,Vegetarian,2400,110,320,75,Quinoa porridge with fruit and nuts,Chickpea and vegetable curry,Black bean burgers on whole-wheat buns,Trail mix with nuts and seeds,25.95155709342561,1476.5
22.0,Male,190.0,80.0,Moderately Active,Weight Loss,Vegan,2100,100,270,65,Tofu scramble with vegetables and whole-wheat toast,Black bean burgers with sweet potato fries,Vegan stir-fry with brown rice,Fruit salad with nuts,22.1606648199446,1882.5
58.0,Male,178.0,100.0,Sedentary,Maintenance,Omnivore,2400,120,300,75,Scrambled eggs with bacon and whole-wheat toast,Chicken Caesar salad,Grilled salmon with roasted vegetables,Mixed nuts,31.561671506122963,1827.5
40.0,Female,168.0,72.0,Lightly Active,Muscle Gain,Vegetarian,2000,90,250,65,Greek yogurt with fruit and granola,Chickpea salad sandwich with whole-wheat bread,Lentil stew with brown rice,Smoothie with protein powder and fruit,25.510204081632658,1409.0
25.0,Male,180.0,80.0,Moderately Active,Muscle Gain,Omnivore,2800,160,350,80,Oatmeal with protein powder and berries,Chicken breast with brown rice and vegetables,Salmon with sweet potato and broccoli,Greek yogurt with nuts and seeds,24.691358024691358,1805.0
32.0,Female,165.0,60.0,Lightly Active,Weight Loss,Vegetarian,1800,100,220,50,Tofu scramble with vegetables and whole-wheat toast,Vegetarian chili with a side salad,Lentil soup with whole-wheat bread,Apple with peanut butter,22.03856749311295,1310.25
55.0,Male,175.0,90.0,Sedentary,Maintenance,Omnivore,2200,120,250,60,Eggs with whole-wheat toast and avocado,Grilled chicken salad with mixed greens,Tuna with quinoa and roasted vegetables,Trail mix with almonds and dried fruit,29.387755102040817,1723.75
28.0,Female,170.0,65.0,Very Active,Muscle Gain,Vegan,2400,140,300,70,Tofu scramble with vegetables and whole-wheat toast,Black bean burger with sweet potato fries,Lentil stew with brown rice,Banana with almond butter,22.49134948096886,1411.5
62.0,Female,160.0,70.0,Lightly Active,Weight Loss,Omnivore,1600,80,180,40,Greek yogurt with berries and granola,Grilled salmon with roasted vegetables,Chicken breast with steamed vegetables,Fruit salad with nuts and seeds,27.343749999999996,1229.0
21.0,Male,190.0,95.0,Moderately Active,Muscle Gain,Omnivore,3000,180,400,90,Pancakes with fruit and syrup,Chicken stir-fry with brown rice,Steak with baked potato and green beans,Protein shake with fruit,26.315789473684212,2037.5
35.0,Female,168.0,55.0,Sedentary,Weight Loss,Vegetarian,1500,80,160,40,Greek yogurt with berries and granola,Vegetarian chili with a side salad,Lentil soup with whole-wheat bread,Apple with peanut butter,19.48696145124717,1264.0
68.0,Female,155.0,65.0,Lightly Active,Maintenance,Vegetarian,1700,80,190,50,Scrambled eggs with vegetables and whole-wheat toast,Black bean burger with sweet potato fries,Vegetarian lasagna with salad,Fruit salad with nuts and seeds,27.055150884495315,1117.75
25.0,Female,165.0,60.0,Lightly Active,Weight Loss,Omnivore,1800,100,200,60,Greek yogurt with berries and granola,Tuna salad sandwich on whole-wheat bread with a side of mixed greens,Salmon with roasted vegetables and quinoa,Apple slices with almond butter,22.03856749311295,1345.25
32.0,Male,180.0,85.0,Moderately Active,Muscle Gain,Omnivore,2800,180,300,80,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with quinoa and steamed vegetables,Steak with baked potato and broccoli,Protein shake with banana,26.234567901234566,1820.0
48.0,Female,170.0,75.0,Sedentary,Maintenance,Vegetarian,2000,80,220,70,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Vegetarian chili with brown rice,Trail mix with dried fruit and nuts,25.95155709342561,1411.5
55.0,Male,175.0,90.0,Moderately Active,Muscle Gain,Vegan,2500,160,280,70,Tofu scramble with veggies and whole-wheat toast,Lentil and vegetable curry with brown rice,Black bean burgers with sweet potato fries,Banana with almond butter,29.387755102040817,1723.75
62.0,Female,160.0,65.0,Lightly Active,Weight Loss,Vegan,1600,80,180,50,Overnight oats with fruit and nuts,Vegetable stir-fry with brown rice,Lentil and vegetable stew,Apple slices with peanut butter,25.390624999999996,1179.0
28.0,Male,190.0,100.0,Very Active,Muscle Gain,Omnivore,3200,200,350,90,Oatmeal with protein powder and fruit,Chicken breast with brown rice and steamed vegetables,Beef stir-fry with brown rice,Protein bar,27.70083102493075,2052.5
35.0,Female,168.0,55.0,Sedentary,Weight Loss,Vegetarian,1500,70,170,50,Greek yogurt with fruit and granola,Black bean burger with whole-wheat bun and salad,Lentil soup with whole-wheat bread,Trail mix with dried fruit and nuts,19.48696145124717,1264.0
42.0,Male,185.0,95.0,Moderately Active,Maintenance,Vegan,2400,150,260,70,Tofu scramble with veggies and whole-wheat toast,Lentil and vegetable curry with brown rice,Black bean burgers with sweet potato fries,Banana with almond butter,27.757487216946675,1901.25
21.0,Female,172.0,58.0,Lightly Active,Weight Loss,Omnivore,1700,90,190,60,Eggs with whole-wheat toast and avocado,Chicken salad sandwich on whole-wheat bread with a side of mixed greens,Salmon with roasted vegetables and quinoa,Apple slices with almond butter,19.60519199567334,1389.0
58.0,Male,178.0,80.0,Sedentary,Maintenance,Vegetarian,2100,70,230,70,Oatmeal with fruit and nuts,Lentil soup with whole-wheat bread,Vegetarian chili with brown rice,Trail mix with dried fruit and nuts,25.24933720489837,1627.5
25.0,Male,180.0,80.0,Moderately Active,Weight Loss,Omnivore,2000,120,250,60,Greek yogurt with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Fruit and nuts,24.691358024691358,1805.0
38.0,Female,165.0,65.0,Sedentary,Maintenance,Vegetarian,1800,80,220,60,Oatmeal with fruit and nuts,Lentil soup with whole grain bread,Tofu stir-fry with brown rice,Vegetable sticks with hummus,23.875114784205696,1330.25
62.0,Male,175.0,90.0,Lightly Active,Muscle Gain,Omnivore,2500,180,300,80,Scrambled eggs with whole wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Beef stew with whole grain bread,Protein shake,29.387755102040817,1688.75
45.0,Female,170.0,75.0,Very Active,Weight Loss,Vegan,2200,100,280,60,Tofu scramble with whole wheat toast and avocado,Lentil salad with quinoa and mixed greens,Chickpea curry with brown rice,Fruit and nut mix,25.95155709342561,1426.5
58.0,Male,178.0,85.0,Sedentary,Maintenance,Omnivore,2200,100,270,70,Yogurt with fruit and granola,Turkey sandwich on whole grain bread,Chicken breast with roasted vegetables,Trail mix,26.82742078020452,1677.5
22.0,Female,160.0,55.0,Moderately Active,Muscle Gain,Vegetarian,2000,100,250,60,Oatmeal with protein powder and fruit,Bean burrito with brown rice,Chickpea and vegetable pasta,Greek yogurt with fruit and nuts,21.484374999999996,1279.0
68.0,Male,170.0,70.0,Lightly Active,Weight Loss,Omnivore,1800,80,220,60,Scrambled eggs with whole wheat toast and fruit,Tuna salad with whole grain bread,Salmon with steamed vegetables,Mixed nuts,24.221453287197235,1427.5
30.0,Female,168.0,60.0,Very Active,Muscle Gain,Vegan,2400,120,300,80,Tofu scramble with whole wheat toast and avocado,Lentil salad with quinoa and mixed greens,Chickpea curry with brown rice,Fruit and nut mix,21.258503401360546,1339.0
55.0,Female,165.0,78.0,Sedentary,Maintenance,Vegetarian,1900,80,230,60,Yogurt with fruit and granola,Black bean soup with whole wheat bread,Vegetable stir-fry with brown rice,Trail mix,28.650137741046834,1375.25
28.0,Male,185.0,100.0,Moderately Active,Muscle Gain,Omnivore,2800,160,350,100,Eggs with whole wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Steak with sweet potato and green beans,Protein shake,29.218407596785973,2021.25
25.0,Female,165.0,60.0,Lightly Active,Weight Loss,Omnivore,1800,100,200,60,Greek yogurt with berries and almonds,Grilled chicken salad with mixed greens,Lentil soup with whole-wheat bread,Apple with peanut butter,22.03856749311295,1345.25
32.0,Male,180.0,85.0,Moderately Active,Muscle Gain,Omnivore,2800,180,350,80,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Salmon with roasted sweet potatoes,Protein shake,26.234567901234566,1820.0
55.0,Female,160.0,70.0,Sedentary,Weight Loss,Vegetarian,1600,80,180,50,Oatmeal with fruit and nuts,Lentil and vegetable curry with brown rice,Black bean burgers on whole-wheat buns,Hummus with vegetables,27.343749999999996,1264.0
40.0,Male,190.0,95.0,Very Active,Muscle Gain,Vegan,3200,160,400,90,Tofu scramble with vegetables and whole-wheat toast,Lentil stew with brown rice and quinoa,Chickpea and vegetable curry with brown rice,Trail mix with nuts and dried fruits,26.315789473684212,1942.5
62.0,Male,175.0,80.0,Moderately Active,Maintenance,Omnivore,2400,140,280,70,Eggs with whole-wheat toast and bacon,Chicken breast with roasted vegetables,Steak with mashed potatoes and green beans,Greek yogurt with berries,26.122448979591837,1588.75
28.0,Female,170.0,55.0,Sedentary,Weight Loss,Vegan,1500,70,160,40,Overnight oats with fruit and chia seeds,Lentil and vegetable soup with whole-wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter,19.031141868512112,1311.5
38.0,Female,168.0,65.0,Lightly Active,Maintenance,Vegetarian,2000,90,220,60,Scrambled tofu with whole-wheat toast and avocado,Black bean burgers on whole-wheat buns with salad,Lentil and vegetable soup with whole-wheat bread,Trail mix with nuts and dried fruits,23.030045351473927,1349.0
58.0,Male,178.0,85.0,Moderately Active,Muscle Gain,Vegan,2800,150,350,80,Tofu scramble with vegetables and whole-wheat toast,Lentil and vegetable curry with brown rice and quinoa,Chickpea and vegetable curry with brown rice,Trail mix with nuts and dried fruits,26.82742078020452,1677.5
22.0,Male,185.0,90.0,Very Active,Muscle Gain,Omnivore,3000,170,380,80,Eggs with whole-wheat toast and bacon,Chicken breast with brown rice and steamed vegetables,Steak with mashed potatoes and green beans,Protein shake,26.296566837107374,1951.25
45.0,Female,172.0,75.0,Sedentary,Weight Loss,Vegan,1700,80,190,50,Overnight oats with fruit and chia seeds,Lentil and vegetable soup with whole-wheat bread,Tofu stir-fry with brown rice and vegetables,Banana with almond butter,25.351541373715524,1439.0
28.0,Female,165.0,55.0,Lightly Active,Weight Loss,Omnivore,1800,75,200,50,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Lentil soup with whole wheat bread,Greek yogurt with fruit and granola,20.202020202020204,1280.25
55.0,Male,180.0,90.0,Moderately Active,Maintenance,Vegetarian,2500,90,300,70,Tofu scramble with vegetables,Lentil and vegetable curry with brown rice,Quinoa salad with roasted vegetables,Trail mix,27.777777777777775,1755.0
32.0,Female,170.0,60.0,Very Active,Muscle Gain,Vegan,2400,100,350,60,Tofu and vegetable stir-fry with brown rice,Black bean burgers with sweet potato fries,Lentil and vegetable stew,Fruit and nut mix,20.761245674740486,1341.5
22.0,Male,190.0,85.0,Sedentary,Weight Loss,Omnivore,2000,80,250,55,Scrambled eggs with whole wheat toast,Chicken breast with brown rice and steamed vegetables,Salmon with roasted vegetables,Low-fat Greek yogurt with berries,23.545706371191137,1932.5
62.0,Female,160.0,70.0,Moderately Active,Maintenance,Vegan,1800,70,220,50,Tofu and vegetable scramble with whole wheat toast,Chickpea salad sandwich on whole wheat bread,Lentil and vegetable stew with brown rice,Fruit and nut mix,27.343749999999996,1229.0
25.0,Male,185.0,95.0,Lightly Active,Muscle Gain,Omnivore,2800,120,380,80,Greek yogurt with fruit and granola,Chicken breast with brown rice and roasted vegetables,Steak with sweet potato and green beans,Protein bar,27.757487216946675,1986.25
40.0,Female,175.0,75.0,Very Active,Weight Loss,Vegetarian,2000,80,250,55,Tofu scramble with vegetables,Black bean burger with whole wheat bun,Lentil and vegetable stew with brown rice,Fruit and nut mix,24.489795918367346,1482.75
38.0,Male,178.0,80.0,Sedentary,Maintenance,Vegan,2200,85,280,65,Tofu and vegetable stir-fry with brown rice,Black bean burgers with sweet potato fries,Lentil and vegetable curry with brown rice,Fruit and nut mix,25.24933720489837,1727.5
20.0,Female,168.0,50.0,Lightly Active,Muscle Gain,Omnivore,2200,90,300,60,Oatmeal with berries and nuts,Chicken breast with brown rice and steamed vegetables,Salmon with roasted vegetables,Protein bar,17.71541950113379,1289.0
58.0,Male,175.0,85.0,Moderately Active,Maintenance,Vegetarian,2300,80,300,70,Tofu and vegetable scramble with whole wheat toast,Lentil and vegetable curry with brown rice,Quinoa salad with roasted vegetables,Trail mix,27.755102040816325,1658.75
25.0,Male,175.0,75.0,Moderately Active,Weight Loss,Omnivore,2200,150,250,60,Greek yogurt with berries and granola,Quinoa salad with chicken and vegetables,Grilled salmon with roasted vegetables,Fruit and nuts,24.489795918367346,1723.75
38.0,Female,165.0,60.0,Lightly Active,Maintenance,Vegetarian,1800,100,200,50,Tofu scramble with vegetables and whole-wheat toast,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Trail mix,22.03856749311295,1280.25
55.0,Male,180.0,90.0,Sedentary,Weight Loss,Omnivore,1800,120,200,40,Oatmeal with fruit and nuts,Chicken breast salad with mixed greens,Tuna salad sandwich on whole-wheat bread,Fruit and yogurt,27.777777777777775,1755.0
62.0,Female,160.0,70.0,Sedentary,Maintenance,Vegan,1600,80,180,40,Tofu and vegetable stir-fry with brown rice,Lentil soup with whole-wheat bread,Black bean burgers on whole-wheat buns,Raw vegetables and hummus,27.343749999999996,1229.0
28.0,Female,170.0,65.0,Very Active,Muscle Gain,Omnivore,2500,180,300,80,Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and vegetables,Steak with sweet potato and broccoli,Protein shake,22.49134948096886,1411.5
32.0,Male,185.0,85.0,Moderately Active,Weight Loss,Vegan,2000,140,220,50,Tofu scramble with vegetables and whole-wheat toast,Lentil soup with whole-wheat bread,Chickpea curry with brown rice,Fruit and nuts,24.835646457268076,1851.25
68.0,Male,170.0,80.0,Lightly Active,Weight Loss,Omnivore,1600,100,180,40,Oatmeal with fruit and nuts,Tuna salad sandwich on whole-wheat bread,Chicken breast with roasted vegetables and sweet potato,Fruit and yogurt,27.68166089965398,1527.5
45.0,Female,165.0,65.0,Very Active,Muscle Gain,Vegetarian,2300,150,280,70,Tofu and vegetable stir-fry with brown rice,Chickpea salad with mixed greens,Lentil stew with whole-wheat bread,Trail mix,23.875114784205696,1295.25
72.0,Female,155.0,55.0,Sedentary,Maintenance,Omnivore,1400,70,160,30,Scrambled eggs with whole-wheat toast,Chicken breast salad with mixed greens,Tuna salad sandwich on whole-wheat bread,Fruit and yogurt,22.892819979188342,997.75
21.0,Male,190.0,95.0,Moderately Active,Weight Loss,Omnivore,2400,160,280,60,Greek yogurt with berries and granola,Quinoa salad with chicken and vegetables,Grilled chicken with roasted vegetables,Fruit and nuts,26.315789473684212,2037.5
